?column?
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('acade3a3-a9fb-4e11-8cef-70c82a27b1ee', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', 'La palabra SINVERGÜENZA es:', '[""parasintética"", ""derivada prefijada"", ""derivada sufijada"", ""simple""]'::jsonb, 1, 30, 'multiple_choice', NULL, NULL::jsonb);"
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('f10030cc-6928-4fb2-81e2-38f9e34807a8', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', 'INSTRUCCIÓN: Lee el siguiente párrafo y luego responde la pregunta:
""Asimismo les informo que el trabajo historico-crítico presentado anteayer por el joven rioplatense obtuvo el decimoprimer puesto"".
La palabra compuesta que debe llevar tilde es:', '[""Asimismo"", ""historico-crítico"", ""rioplatense"", ""decimoprimer""]'::jsonb, 1, 30, 'multiple_choice', NULL, NULL::jsonb);"
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('76b05143-ea25-4351-bd25-2b38c31414db', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', '""Escuché un (sí) muy emocionado"".
Lo subrayado cumple la función de:', '[""adverbio"", ""adjetivo"", ""sustantivo"", ""pronombre""]'::jsonb, 0, 30, 'multiple_choice', NULL, NULL::jsonb);"
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('306f5455-da54-4c09-aef0-855e1d54ddaf', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', 'La palabra ______ no debe llevar tilde.', '[""cortesmente"", ""decimoseptimo"", ""puntapie"", ""sutilmente""]'::jsonb, 3, 30, 'multiple_choice', NULL, NULL::jsonb);"
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('f06e1e26-e980-4306-b102-789014b175bf', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', 'Marca la expresión que usa correctamente el acento diacrítico:', '[""Tú no estás conmigo, solo está mi almohad"", ""Dé usted depende que él cumpla su horario."", ""Él le dijo, acércate más, mas ella no hízole caso."", ""Sí no tardo, sí iré a la reunión.""]'::jsonb, 2, 30, 'multiple_choice', NULL, NULL::jsonb);"
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('306e4662-868b-492c-9198-7f75f14ee222', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', '¿En qué oración se ha tildado incorrectamente una palabra compuesta?', '[""Es un curso teórico-práctico"", ""Avísele que ya llegó"", ""Ocupó el decimoséptimo puesto"", ""Pintóse la cara para jugar""]'::jsonb, 3, 30, 'multiple_choice', NULL, NULL::jsonb);"
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('fe91a7a8-99f4-471a-be71-acff550c92f6', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', '¿En qué oración hay dos palabras compuestas?', '[""Trasplantó el aniñado"", ""Tuvo una niñez muy triste"", ""Dieciséis camaleones"", ""El lustrabotas cogió el pisapapel""]'::jsonb, 3, 30, 'multiple_choice', NULL, NULL::jsonb);"
"INSERT INTO public.questions (id, quiz_id, question_text, options, correct_option_index, time_limit, type, correct_answer, matching_pairs) VALUES ('e2997ff2-5928-49dc-a6f3-363f5f3da27b', '0fa26f27-81e5-4236-8bde-ad6dc243d4c9', '¿En qué oración hay una palabra compuesta yuxtapuesta?', '[""Nunca le fue infiel"", ""Lloró el picapedrero"", ""Dicen que es un ferrocarril"", ""Le dio veintidós peras""]'::jsonb, 1, 30, 'multiple_choice', NULL, NULL::jsonb);"
